"Player","Team","Pass Completions"
"Jarrett Stidham ","DEN","4"
"Mitch Trubisky ","PIT","4"
"Jameis Winston ","NO","4"
"Mike White ","MIA","3"
"Gardner Minshew II ","IND","3"
"Sam Ehlinger ","IND","3"
"P.J. Walker ","CHI","3"
"David Blough ","ARI","2"
"Brett Rypien ","LAR","2"
"Taysom Hill ","NO","2"
"Tyler Huntley ","BAL","2"
"Desmond Ridder ","ATL","2"
"Kyle Allen ","BUF","2"
"Joshua Dobbs ","CLE","2"
"Chase Claypool ","CHI","1"
"C. McCaffrey ","SF","1"
"Derrick Henry ","TEN","1"
"John Wolford ","TB","1"
"Skylar Thompson ","MIA","1"
"Braxton Berrios ","MIA","1"
""
"Player","Team","INTs"
"Dak Prescott ","DAL","15"
"Davis Mills ","HOU","15"
"Josh Allen ","BUF","14"
"Derek Carr ","NO","14"
"Kirk Cousins ","MIN","14"
"Matt Ryan ","FA","13"
"Aaron Rodgers ","NYJ","12"
"Patrick Mahomes II ","KC","12"
"Joe Burrow ","CIN","12"
"Mac Jones ","NE","11"
"Russell Wilson ","DEN","11"
"Geno Smith ","SEA","11"
"Justin Fields ","CHI","11"
"Justin Herbert ","LAC","10"
"Andy Dalton ","CAR","9"
"Tom Brady ","FA","9"
"Marcus Mariota ","PHI","9"
"Carson Wentz ","FA","9"
"Kenny Pickett ","PIT","9"
"Baker Mayfield ","TB","8"
"Trevor Lawrence ","JAC","8"
"Tua Tagovailoa ","MIA","8"
"Matthew Stafford ","LAR","8"
"Zach Wilson ","NYJ","7"
"Jared Goff ","DET","7"
"Lamar Jackson ","BAL","7"
"Kyler Murray ","ARI","7"
"Jacoby Brissett ","WAS","6"
"Ryan Tannehill ","TEN","6"
"Jalen Hurts ","PHI","6"
"Taylor Heinicke ","ATL","6"
"Jameis Winston ","NO","5"
"Trace McSorley ","NE","5"
"Mitch Trubisky ","PIT","5"
"Deshaun Watson ","CLE","5"
"Daniel Jones ","NYG","5"
"Mike White ","MIA","4"
"Brett Rypien ","LAR","4"
"Brock Purdy ","SF","4"
"Jimmy Garoppolo ","LV","4"
"Teddy Bridgewater ","FA","4"
"Nick Foles ","FA","4"
"Kyle Allen ","BUF","4"
"Jarrett Stidham ","DEN","3"
"Gardner Minshew II ","IND","3"
"Sam Ehlinger ","IND","3"
"Malik Willis ","TEN","3"
"Bailey Zappe ","NE","3"
"Skylar Thompson ","MIA","3"
"Tyler Huntley ","BAL","3"
"John Wolford ","TB","3"
"Sam Darnold ","SF","3"
"P.J. Walker ","CHI","3"
"Cooper Rush ","DAL","3"
"Colt McCoy ","ARI","3"
"Joe Flacco ","FA","3"
"Tim Boyle ","NYJ","2"
"Bryce Perkins ","FA","2"
"Anthony Brown ","BAL","2"
"David Blough ","ARI","2"
""
"Player","Team","Rushing Attempts"
"Derrick Henry ","TEN","349"
"Josh Jacobs ","LV","340"
"Nick Chubb ","CLE","302"
"Saquon Barkley ","NYG","295"
"Najee Harris ","PIT","272"
"Dalvin Cook ","MIN","264"
"Jamaal Williams ","NO","262"
"Miles Sanders ","CAR","259"
"C. McCaffrey ","SF","244"
"Ezekiel Elliott ","FA","231"
"Kenneth Walker III ","SEA","228"
"Alvin Kamara ","NO","223"
"Dameon Pierce ","HOU","220"
"Travis Etienne Jr. ","JAC","220"
"Aaron Jones ","GB","213"
"R. Stevenson ","NE","210"
"Tyler Allgeier ","ATL","210"
"Joe Mixon ","CIN","210"
"Brian Robinson Jr. ","WAS","205"
"Austin Ekeler ","LAC","204"
"D'Onta Foreman ","CHI","203"
"David Montgomery ","DET","201"
"Tony Pollard ","DAL","193"
"Jonathan Taylor ","IND","192"
"Leonard Fournette ","FA","189"
"Cam Akers ","LAR","188"
"AJ Dillon ","GB","186"
"James Conner ","ARI","183"
"Raheem Mostert ","MIA","181"
"Devin Singletary ","HOU","177"
"Jeff Wilson Jr. ","MIA","176"
"Latavius Murray ","BUF","171"
"Isiah Pacheco ","KC","170"
"Jalen Hurts ","PHI","165"
"Justin Fields ","CHI","160"
"Antonio Gibson ","WAS","149"
"C. Patterson ","ATL","144"
"Rachaad White ","TB","129"
"Khalil Herbert ","CHI","129"
"Josh Allen ","BUF","124"
"Kareem Hunt ","FA","123"
"Daniel Jones ","NYG","120"
"Michael Carter ","NYJ","114"
"Lamar Jackson ","BAL","112"
"James Robinson ","NE","110"
"Kenyan Drake ","FA","109"
"Damien Harris ","BUF","106"
"D'Andre Swift ","PHI","99"
"Taysom Hill ","NO","96"
"Chuba Hubbard ","CAR","95"
"Samaje Perine ","DEN","95"
"Zack Moss ","IND","93"
"J.K. Dobbins ","BAL","92"
"Melvin Gordon III ","FA","90"
"James Cook ","BUF","89"
"Gus Edwards ","BAL","87"
"Zonovan Knight ","NYJ","85"
"Marcus Mariota ","PHI","85"
"Breece Hall ","NYJ","80"
"Eno Benjamin ","NO","77"
""
"Player","Team","Rushing Yards"
"Josh Jacobs ","LV","1,653"
"Derrick Henry ","TEN","1,538"
"Nick Chubb ","CLE","1,525"
"Saquon Barkley ","NYG","1,312"
"Miles Sanders ","CAR","1,269"
"Dalvin Cook ","MIN","1,173"
"Justin Fields ","CHI","1,143"
"C. McCaffrey ","SF","1,139"
"Travis Etienne Jr. ","JAC","1,125"
"Aaron Jones ","GB","1,121"
"Jamaal Williams ","NO","1,066"
"Kenneth Walker III ","SEA","1,050"
"R. Stevenson ","NE","1,040"
"Tyler Allgeier ","ATL","1,035"
"Najee Harris ","PIT","1,034"
"Tony Pollard ","DAL","1,007"
"Dameon Pierce ","HOU","939"
"Austin Ekeler ","LAC","915"
"D'Onta Foreman ","CHI","914"
"Alvin Kamara ","NO","897"
"Raheem Mostert ","MIA","891"
"Ezekiel Elliott ","FA","876"
"Jonathan Taylor ","IND","861"
"Jeff Wilson Jr. ","MIA","860"
"Isiah Pacheco ","KC","830"
"Devin Singletary ","HOU","819"
"Joe Mixon ","CIN","814"
"David Montgomery ","DET","801"
"Brian Robinson Jr. ","WAS","797"
"Cam Akers ","LAR","786"
"James Conner ","ARI","782"
"AJ Dillon ","GB","770"
"Lamar Jackson ","BAL","764"
"Josh Allen ","BUF","762"
