"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"314","Chicago Bears","DST","13","DST30","","","","","290.0"
"315","Bailey Zappe","NE","11","QB39","","","","","291.0"
"316","Kyle Trask","TB","5","QB40","","","","","293.0"
"317","Melvin Gordon III","","","RB90","","","","","299.0"
"318","Darnell Washington","PIT","6","TE41","","","","","299.5"
"319","Arizona Cardinals","DST","14","DST31","","","","","300.0"
"320","Will Dissly","SEA","5","TE42","","","","","302.0"
"321","Zack Moss","IND","11","RB91","","","","","303.0"
"322","Chris Rodriguez Jr.","WAS","14","RB92","","","","","306.0"
"323","Randall Cobb","NYJ","7","WR117","","","","","307.0"
"324","Robert Tonyan","CHI","13","TE43","","","","","308.0"
"325","Calvin Austin III","PIT","6","WR118","","","","","309.0"
"326","Hassan Haskins","TEN","7","RB93","","","","","311.0"
"327","Colby Parkinson","SEA","5","TE44","","","","","313.0"
"328","Las Vegas Raiders","DST","13","DST32","","","","","314.0"
"329","Tyler Huntley","BAL","13","QB41","","","","","315.0"
"330","Charlie Jones","CIN","7","WR119","","","","","316.0"
"331","Quez Watkins","PHI","10","WR120","","","","","317.0"
"332","Trey Sermon","PHI","10","RB94","","","","","321.0"
"333","Andy Dalton","CAR","7","QB42","","","","","323.0"
"334","Tom Brady","","","QB43","","","","","325.0"
"335","Marcus Mariota","PHI","10","QB44","","","","","326.0"
"336","Noah Gray","KC","10","TE45","","","","","327.0"
"337","JaMycal Hasty","JAC","9","RB95","","","","","328.0"
"338","Zach Wilson","NYJ","7","QB45","","","","","329.0"
"339","Josh Oliver","MIN","13","TE46","","","","","330.0"
"340","Travis Homer","CHI","13","RB96","","","","","331.0"
""
""
